No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
869,ER096,"Rambutan binjai, segar","81,0",76,"0,5","0,2","18,0","3,8","0,3",15,22,"1,2",22,"120,0","0,20","0,2",-,-,-,"0,19","0,01","0,4",13,40,Tunggal,Buah,KZGMI-2001
870,ER097,"Rambutan, segar","80,5",69,"0,9","0,1","18,1","0,8","0,4",16,16,"0,5",16,"104,2","0,17","0,1",-,-,-,-,"0,07","0,5",58,40,Tunggal,Buah,DABM-1964
871,BP055,Rasbi (Beras Ubi),"11,1",394,"2,2","8,8","76,6","6,8","1,3",68,76,"1,6",165,"388,0","0,40","0,4",-,-,-,"0,02","0,30","1,2","0,2",100,Olahan,Umbi,BKP
872,BP056,Rasi (Beras Singkong),"12,6",350,"0,9","0,4","85,7","14,4","0,5",42,21,"1,5",8,"14,0","0,30","0,5",-,-,-,"0,02","0,02","0,4","0,2",100,Olahan,Umbi,BKP
873,FP061,"Rawon, masakan","86,0",60,"5,4","2,5","4,0","0,3","1,7",272,153,"3,3",-,-,-,-,11,-,1.235,"0,09",-,-,-,100,Olahan,Daging,KZGPI-1990
874,GP046,"Rebon, kering, mentah","21,6",299,"59,4","3,6","3,2",-,"12,2",2.306,625,"21,4",-,-,-,-,-,-,-,"0,06",-,-,-,-,Olahan,Ikan dsb,DABM-60/64
875,GR064,"Rebon, udang kecil, segar","79,0",81,"16,2","1,2","0,7",-,"2,9",757,292,"2,2",169,"202,9","0,70","1,2",18,-,-,"0,04","0,10","2,4",-,100,Tunggal,Ikan dsb,DABM-1964
876,GP047,"Rebung laut, mentah","18,2",320,"7,2","4,2","63,3",-,"7,1",240,570,"6,6",20,"1.040,0","1,50","6,2",917,-,-,-,-,"4,9",-,-,Olahan,Ikan dsb,KZGMI-2001
877,DR138,"Rebung, segar","93,3",25,"0,8","0,1","5,3","9,7","0,5",3,5,"0,5",3,"206,0","0,10","0,4",-,10,-,"0,20","0,07","0,5",-,28,Tunggal,Sayur,KZGMI-2001
878,CP055,Rempeyek kacang tanah,"3,9",513,"17,5","32,5","44,3","1,7","1,8",65,202,"2,6",-,-,-,-,-,-,-,"0,10",-,-,-,100,Olahan,Kacang,KZGPI-1990
879,CP056,Rempeyek kacang tolo,"6,1",451,"11,2","20,2","59,7","1,8","2,8",156,221,"4,6",-,-,-,-,-,-,-,"0,02",-,-,-,100,Olahan,Kacang,KZGPI-1990
880,CP057,Rempeyek kacang uci,"4,0",497,"17,0","27,6","50,8","2,4","3,4",166,89,"6,7",-,-,-,-,-,-,-,"0,05",-,-,-,100,Olahan,Kacang,KZGPI-1990
881,FP062,"Rendang sapi, masakan","57,9",193,"22,6","7,9","7,8",-,"3,8",474,211,"14,9",-,-,-,-,21,-,534,"0,12",-,-,-,100,Olahan,Daging,KZGPI-1990
882,AP102,Renggi goreng,"8,8",471,"4,7","21,8","64,1","6,4","0,6",4,80,"1,1",126,"29,0","0,90","1,3",-,-,-,"0,53","0,05","8,2",-,100,Olahan,Serealia,KZGMI-2001
883,EP008,Rica-rica taipa,"86,7",49,"1,6","0,3","10,0",-,"1,4",11,48,"3,0",426,"42,0","0,50","0,5",-,-,296,"0,14",-,-,-,100,Olahan,Buah,KZGMI-2001
884,DR139,"Rimbang, segar","80,8",75,"1,6","0,6","15,8","10,0","1,2",55,97,"0,6",20,"234,0","0,40","0,4",-,51,-,"0,40","0,10","1,3",38,95,Tunggal,Sayur,KZGMI-2001
885,AP103,Roti boong,"34,0",341,"5,5","16,2","43,3",-,"1,0",15,65,"1,1",161,"41,0",-,"0,9",-,-,-,"0,40","0,30","2,4",-,100,Olahan,Serealia,KZGMI-2001
886,AP024,Roti putih,"40,0",248,"8,0","1,2","50,0","9,1","0,8",10,95,"1,5",530,"91,0","0,15","0,9",-,-,-,"0,10","0,29","2,4",-,100,Olahan,Serealia,DABM-1964
887,AP104,Roti warna sawo matang,"40,0",249,"7,9","1,5","49,7",-,"0,9",20,140,"2,5",500,"91,0",-,-,-,-,-,"0,15",-,-,-,100,Olahan,Serealia,DABM-1964
888,EP009,Rujak aceh,"78,7",82,"0,4","0,3","19,7","2,4","0,9",-,-,-,-,-,-,-,-,-,272,"0,10",-,-,-,100,Olahan,Buah,KZGMI-2001
889,DP046,Rujak cingur,"70,1",153,"11,3","8,4","8,0","1,4","1,4",256,143,"4,4",-,-,-,-,18,-,2.880,"0,16",-,-,2,100,Olahan,Sayur,KZGPI-1990
890,DR140,Rumput laut,"87,0",41,"1,4","0,3","8,1","2,2","3,2",80,20,"1,6",250,"380,0","0,20","0,4",-,1.958,-,"0,20",-,"0,1",7,100,Tunggal,Sayur,KZGMI-2001
891,FP010,"Rusa, daging, dendeng, mentah","18,3",536,"40,5","41,5",-,-,"2,5",90,420,"13,4",130,"690,0","0,30","10,7",285,-,-,-,-,"0,2",-,100,Olahan,Daging,KZGMI-2001
892,GP048,Rusip,"58,5",110,"11,5","2,0","11,7",-,"16,3",479,348,"7,1",-,-,-,-,-,-,-,"0,04",-,-,-,100,Olahan,Ikan dsb,KZGPI-1990
893,FP063,"RW, anjing, masakan","60,8",198,"24,6","10,7","0,9",-,"3,0",1.071,876,"4,0",1.604,"226,0","0,10","2,8",256,-,-,"0,35","0,20",-,-,100,Olahan,Daging,KZGMI-2001
894,GP087,"Saboko gurita, masakan","76,2",87,"15,7","1,5","2,6",-,"4,1",60,14,"2,1",200,"180,0","0,90","4,0",38,-,-,-,-,-,-,-,Olahan,Ikan dsb,KZGMI-2001
895,GP088,"Saboko saltan, masakan","76,0",113,"17,1","3,6","3,0",-,"0,3",240,60,"0,5",40,"350,0","0,20","0,6",27,-,-,-,-,"0,1",-,-,Olahan,Ikan dsb,KZGMI-2001
896,GP089,"Saboko sardin, masakan","70,0",110,"12,9","4,3","4,9",-,"7,9",220,520,"6,0",200,"280,0","0,20","3,9",37,-,-,-,-,-,-,-,Olahan,Ikan dsb,KZGMI-2001
897,CR051,"Saga merah terkupas, mentah","8,1",449,"30,6","25,5","31,9","3,5","3,9",1.062,161,"14,2",66,"1.496,5","0,07","5,7",-,9,107,"0,09","1,50","10,9",7,100,Tunggal,Kacang,KZGPI-1990
898,BR018,"Sagu aren, kering","11,9",355,"0,6","1,1","85,6","0,3","0,8",91,167,"2,2",2,"200,0",-,"0,3",-,-,-,"0,04","0,10","0,5",-,100,Tunggal,Umbi,KZGPI-1990
899,BR019,"Sagu aren, segar","42,5",231,"0,6","0,2","56,6","3,2","0,1",20,20,"0,1",7,-,"0,10","0,1",-,-,-,"0,20",-,-,-,100,Tunggal,Umbi,KZGMI-2001
900,BP057,Sagu forno,"31,5",291,"0,5","4,0","63,4",-,"0,6",10,20,"0,8",40,"50,0","0,10","0,2",-,-,-,-,-,-,-,100,Olahan,Umbi,KZGMI-2001
901,BR020,Sagu kasbi segar,"42,5",230,"0,6","0,2","56,5","3,0","0,2",20,1,"0,3",100,"410,0","0,10","0,2",-,-,-,"0,10",-,-,-,100,Tunggal,Umbi,KZGMI-2001
902,BP058,Sagu Lemak (Kue Sagon),"4,3",452,"2,8","14,8","76,8","1,1","0,7",15,39,"1,1",182,"52,7","0,04","0,8",-,1.220,-,"0,32","0,04","0,1","0,2",100,Olahan,Umbi,BKP
903,BR021,Sagu lempeng,"13,5",347,"0,9","0,3","85,2","4,7","0,1",30,30,"0,2",11,-,"0,10","0,1",-,-,-,"0,30",-,-,-,100,Tunggal,Umbi,KZGMI-2001
904,BP059,Sagu manis,"32,6",287,"0,5","3,9","62,4",-,"0,6",8,17,"0,7",34,"42,0","0,10","0,2",-,-,-,-,-,-,-,100,Olahan,Umbi,KZGMI-2001
905,BP060,Sagu Rendang,"8,2",364,"0,1","0,2","90,5","1,9","1,0",13,9,"3,9",42,"15,1","0,10","0,1",-,-,-,"0,02","0,60","0,8","0,2",100,Olahan,Umbi,BKP
906,BR022,"Sagu singkong, kering","12,0",362,"0,5","0,3","86,9",-,"0,3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Tunggal,Umbi,DABM-1964
907,BP061,Sagu sinole,"22,0",354,"0,8","8,3","68,9",-,"0,1",10,30,"0,8",30,"11,0","0,20","0,3",-,-,-,-,-,-,-,100,Olahan,Umbi,KZGMI-2001
908,ER098,"Salak bali, segar","85,1",57,"0,5","0,1","13,6","1,3","0,7",94,25,"2,1",-,-,"0,08","0,2",-,48,37,-,-,-,"0,4",93,Tunggal,Buah,KZGPI-1990
909,ER099,"Salak medan, segar","78,1",55,"0,4","0,2","12,8","3,2","8,5",6,46,"0,5",39,"113,0","0,20","0,3",-,4,-,"0,04","0,03",-,58,93,Tunggal,Buah,KZGMI-2001
910,ER100,"Salak pondoh, segar","77,9",87,"0,8","0,4","20,1",-,"0,8",38,31,"3,9",-,-,"0,08","0,2",-,-,40,-,"0,12","0,1",8,59,Tunggal,Buah,KZGPI-1990
911,ER101,"Salak, segar","78,0",77,"0,4",-,"20,9",-,"0,7",28,18,"4,2",-,-,"0,08","0,2",-,48,-,"0,04",-,-,2,93,Tunggal,Buah,DABM-1964
912,EP010,Sale kesemek,"25,0",296,"1,1","0,6","71,4",-,"1,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Buah,KZGMI-2001
913,EP011,Sale pisang siam,"28,9",281,"2,4","0,7","66,1","1,0","2,0",41,64,"1,2",-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Buah,KZGPI-1990
914,EP012,"Sale pisang, cilacap","27,1",295,"2,3","2,1","66,9","1,3","1,7",47,97,"2,8",-,-,-,-,-,10,-,"0,22","0,03",-,42,100,Olahan,Buah,KZGPI-1990
915,EP013,Sanggara belanda,"47,1",242,"6,4","7,1","38,2",-,"1,2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Buah,KZGMI-2001
916,KP003,Santan (dengan air),"80,0",122,"2,0","10,0","7,6","1,4","0,4",25,30,"0,1",9,"162,5","0,16","0,4",-,-,-,"0,02",-,"0,5",2,100,Olahan,Lemak,DABM-1964
917,KP004,Santan murni,"54,9",324,"4,2","34,3","5,6",-,"1,0",14,45,"1,9",18,"514,1","0,37","0,9",-,-,-,"0,02",-,"0,5",2,100,Olahan,Lemak,DABM-1964
918,NP009,Saos tomat,"69,5",110,"2,0","0,4","24,5","0,9","3,6",12,18,"0,8",890,"129,7","0,18","0,3",-,357,570,"0,09","0,06","1,7",11,100,Olahan,Bumbu,DABM-1964
919,FP011,"Sapi, abon","7,1",212,"18,0","10,6","59,3","7,5","4,7",150,209,"12,3",-,-,-,-,-,240,138,"0,17",-,-,-,100,Olahan,Daging,KZGPI-1990
920,FP012,"Sapi, abon, asli","24,8",358,"14,6","16,1","38,6","2,5","5,8",165,136,"14,6",-,-,-,-,3,194,144,"0,13",-,-,-,100,Olahan,Daging,KZGPI-1990
921,FR023,"Sapi, babat, segar","76,7",108,"17,6","4,2",-,-,"1,5",12,144,"1,0",147,"101,4","0,11","2,2",-,49,-,"0,15","0,17","1,7",-,100,Tunggal,Daging,DABM-1964
922,FP013,"Sapi, daging, asap","60,0",182,"32,0","6,0",-,-,"2,0",15,300,"5,0",1.620,"485,4","0,03","5,1",6,-,-,"0,12","0,23","5,9",-,100,Olahan,Daging,DABM-1964
923,FP014,"Sapi, daging, dendeng, mentah","25,0",301,"55,0","9,0",-,-,"11,0",30,370,"5,1",-,-,-,-,-,-,-,"0,10",-,-,-,100,Olahan,Daging,DABM-1964
924,FR024,"Sapi, daging, gemuk, segar","60,0",273,"17,5","22,0",-,-,"0,5",10,150,"2,6",93,"267,0","0,17","6,4",12,-,-,"0,08","0,18","7,3",-,100,Tunggal,Daging,DABM-1964
925,FP015,"Sapi, daging, kornet","53,0",289,"16,0","25,0",-,-,"6,0",10,170,"4,0",794,"94,4","0,07","4,0",-,52,-,"0,01","0,16","2,7",-,100,Olahan,Daging,DABM-1964
926,FR025,"Sapi, daging, kurus, segar","69,0",174,"19,6","10,0",-,-,"1,4",11,181,"2,9",83,"489,0","0,07","4,9",6,181,-,"0,07","0,51","1,2",-,100,Tunggal,Daging,DABM-1964
927,FR026,"Sapi, daging, lemak sedang, segar","66,0",201,"18,8","14,0",-,-,"1,2",11,170,"2,8",105,"378,0","4,58","5,2",9,198,-,"0,08","0,56","1,3",-,100,Tunggal,Daging,DABM-1964
928,FP016,"Sapi, daging, sosis (Worst)","37,6",448,"14,5","42,3","2,3",-,"3,3",28,61,"1,1",765,"284,5","0,06","1,7",-,-,-,"0,10","0,18","4,9",-,100,Olahan,Daging,DABM-1964
929,FR027,"Sapi, daleman, segar","70,1",183,"12,0","14,4","1,4",-,"2,1",43,319,"1,8",277,"160,0","0,10","0,8",-,104,-,"0,31","0,22","8,5",-,100,Tunggal,Daging,KZGMI-2001
930,FR028,"Sapi, dideh/darah","75,6",98,"21,9","1,1",-,-,"1,4",7,24,"1,3",150,"170,0",-,"0,2",15,214,-,"0,01","0,03","0,9",-,100,Tunggal,Daging,DABM-1964
931,FR029,"Sapi, ginjal, segar","74,9",137,"15,0","8,1","0,9",-,"1,1",9,221,"7,9",200,"230,2",-,-,348,583,-,"0,37","1,22","6,1",13,100,Tunggal,Daging,DABM-1964
932,FP017,"Sapi, hati, sosis (liverworst)","56,6",274,"16,0","22,0","3,0","2,3","2,4",20,150,"4,0",654,"158,8","0,22","2,2",1.201,-,-,"0,20","0,96","4,0",-,100,Olahan,Daging,DABM-1964
933,FR030,"Sapi, keleponan, segar","83,8",84,"10,5","4,6","0,2",-,"0,9",20,13,"2,1",73,"318,0","0,20","1,7",857,34,-,"0,10","0,14","0,3",-,100,Tunggal,Daging,KZGMI-2001
934,FR031,"Sapi, liver, segar","69,7",132,"19,7","3,2","6,0",-,"1,4",7,358,"6,6",110,"213,0","0,51","2,3",13.303,355,-,"0,26","1,52","11,4",31,100,Tunggal,Daging,DABM-1964
935,FR032,"Sapi, otak, segar","78,9",123,"10,4","8,6","0,8",-,"1,3",16,330,"3,6",112,"243,8","0,26","0,9",-,-,-,"0,23","0,19","3,9",18,100,Tunggal,Daging,DABM-1964
936,FP018,"Sapi, paru, dendeng, mentah","9,7",360,"57,3","6,0","19,2",-,"7,8",126,903,"21,1",1.483,"864,0","1,20","6,1",2.827,-,-,-,-,-,-,100,Olahan,Daging,KZGMI-2001
937,FP019,"Sapi, paru, goreng","45,5",268,"23,9","12,7","14,5",-,"3,1",102,315,"8,8",923,"299,0",-,"1,5",790,-,-,-,-,-,-,100,Olahan,Daging,KZGMS-1993
938,FR033,"Sapi, usus, segar","76,7",126,"14,0","7,2","1,5",-,"0,6",14,115,"4,0",-,-,-,-,61,-,-,"0,08","0,33","0,2",-,100,Tunggal,Daging,DABM-1964
939,GP049,Sardines dalam kaleng,"47,1",338,"21,1","27,0","1,0",-,"3,8",354,434,"3,5",-,-,-,-,76,-,-,"0,10",-,-,-,-,Olahan,Ikan dsb,DABM-60/64
940,CP059,"Saridele, bubuk","3,0",344,"30,0","20,0","43,0","6,2","4,0",450,500,"4,0",56,"2.572,3","2,99","4,0",-,-,2.000,"0,70","0,16","2,0",10,100,Olahan,Kacang,DABM-1964
941,AP105,Sarimuka,"61,5",166,"2,3","2,8","32,9",-,"0,5",36,13,"2,0",3,"34,0",-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
942,GP090,Sate Bandeng,"47,1",283,"12,1","16,8","20,9","2,0","3,1",118,186,"1,2",543,"199,0","0,20","0,9",-,2,-,"0,02","0,02",-,"0,3",82,Olahan,Ikan dsb,BKP
943,FP065,"Sate pusut, masakan","52,1",274,"12,9","18,6","13,6",-,"2,8",63,190,"2,7",609,-,-,-,133,-,-,"0,06",-,-,-,100,Olahan,Daging,KZGMI-2001
944,FP064,"Sate, penyu, masakan","57,4",179,"22,5","3,5","13,3",-,"3,3",187,238,"14,4",-,-,-,-,-,-,-,"0,10",-,-,-,100,Olahan,Daging,KZGPI-1990
945,DR142,"Sawi putih / pecai, segar","96,6",9,"1,0","0,1","1,7","0,8","0,6",56,42,"1,1",5,"193,1","0,05","0,1",-,862,832,"0,05","0,18","0,4",3,79,Tunggal,Sayur,KZGPI-1990
946,DR143,"Sawi taiwan, segar","91,8",30,"1,9","0,5","4,4","2,7","1,4",100,58,"1,6",27,"217,0","0,10","0,7",-,1.340,-,"0,20","0,10","0,6",33,85,Tunggal,Sayur,KZGMI-2001
947,DR144,"Sawi tanah, segar","94,9",19,"1,3","0,2","2,9","2,2","1,0",92,45,"1,2",17,"145,0","0,10","0,4",-,815,-,"0,20","0,10","0,1",36,85,Tunggal,Sayur,KZGMI-2001
948,DR141,"Sawi, segar","92,2",28,"2,3","0,3","4,0","2,5","1,2",220,38,"2,9",22,"436,5","0,12","0,2",-,2.042,6.460,"0,09","0,23","0,7",102,87,Tunggal,Sayur,DABM-1964
949,ER102,"Sawo duren, segar","87,3",64,"1,0","3,1","8,0","0,8","0,6",18,45,"0,8",13,"111,4","0,02","0,1",-,-,-,"0,01","0,02","0,1",1,64,Tunggal,Buah,KZGPI-1990
950,ER103,"Sawo kecik, segar","73,8",111,"0,9","2,3","21,6","1,0","1,4",20,185,"0,7",28,"117,8","0,04","0,1",-,119,12,-,"0,04","1,5",19,83,Tunggal,Buah,KZGPI-1990
951,ER104,"Sawo Manila, segar","75,5",92,"0,5","1,1","22,4","9,5","0,5",25,12,"1,0",26,"110,2","0,04","0,1",-,111,60,"0,01","0,04","1,4",21,79,Tunggal,Buah,DABM-1964
952,DP047,Sayur asem,"93,2",29,"0,7","0,6","5,0","0,6","0,8",40,61,"3,1",-,-,-,-,14,-,2.075,"0,10",-,-,"0,3",100,Olahan,Sayur,KZGPI-1990
953,DP048,Sayur bunga pepaya,"83,4",49,"1,7","0,3","9,8","2,7","2,1",220,220,"1,3",90,"350,0","0,10","0,1",-,372,-,-,"0,10",-,-,100,Olahan,Sayur,KZGMI-2001
954,DP049,Sayur garu,"70,8",178,"2,6","13,9","10,6","8,4","2,1",30,130,"0,9",20,"120,0","0,10","0,3",-,-,-,"0,20","0,10",-,9,100,Olahan,Sayur,KZGMI-2001
955,DP050,Sayur kohu-kohu,"72,8",133,"7,3","6,6","11,2","1,2","2,1",40,120,"0,2",20,"50,0","0,10","0,3",-,944,-,"0,20","0,20",-,9,100,Olahan,Sayur,KZGMI-2001
956,CP058,Sayur lebui,"83,9",64,"2,1","0,6","12,5","5,7","0,9",21,2,"1,0",124,"146,0","0,20","0,7",-,14,-,-,-,"0,1",-,100,Olahan,Kacang,KZGMI-2001
957,DP051,Sayur lilin-terubuk,"90,4",36,"2,7","0,7","4,8","1,4","1,4",10,90,"0,1",30,"44,0","0,20","1,0",-,-,-,"0,30","0,20",-,18,100,Olahan,Sayur,KZGMI-2001
958,DP052,Sayur ndusuk,"87,5",49,"3,1","2,5","3,6",-,"3,1",11,6,"0,5",1.011,"88,0",-,"0,2",-,-,-,"0,20","0,10",-,15,100,Olahan,Sayur,KZGMI-2001
959,DP053,Sayur sop,"92,7",27,"1,3","2,0","1,0","0,3","2,7",168,57,"1,8",-,-,-,-,20,-,2.569,"0,10",-,-,"0,2",100,Olahan,Sayur,KZGPI-1990
960,DP054,Sayur umbut kelapa,"85,5",67,"5,2","2,9","5,1","1,4","1,3",48,81,"3,2",313,"108,0","0,20","1,1",-,21,-,"0,20",-,-,5,100,Olahan,Sayur,KZGMI-2001
961,DP055,Sayur umbut rotan,"87,6",57,"5,4","2,6","3,1","1,6","1,3",184,135,"1,2",256,"81,0","0,20","0,9",-,18,-,"0,20",-,-,6,100,Olahan,Sayur,KZGMI-2001
962,DR146,"Selada air, segar","93,3",17,"3,1","0,2","2,2","0,7","1,2",95,152,"2,4",65,"260,7","0,11","0,2",-,1.230,3.727,"0,09","0,14","0,7",56,70,Tunggal,Sayur,KZGPI-1990
963,DP016,"Selada, rebus","93,5",19,"2,7","0,2","2,9","0,7","0,7",83,74,"1,4",24,"160,7","0,05","0,3",-,2.499,3.700,"0,08","0,20","0,6",27,100,Olahan,Sayur,KZGPI-1990
964,DR145,"Selada, segar","94,8",18,"1,2","0,2","2,9","1,8","0,9",22,25,"0,5",19,"186,4","0,03","0,2",-,1.526,540,"0,04","0,13","0,4",8,69,Tunggal,Sayur,DABM-1964
965,DR147,"Seledri, segar","93,0",23,"1,0","0,1","4,6","2,0","1,3",50,40,"1,0",64,"258,8","0,08","0,4",-,63,130,"0,03","0,07","0,4",11,63,Tunggal,Sayur,DABM-1964
966,ER105,"Semangka, segar","92,1",28,"0,5","0,2","6,9","0,4","0,3",7,12,"0,2",7,"93,8","0,04","0,1",-,315,590,"0,05","0,05","0,3",6,46,Tunggal,Buah,DABM-1964
967,DP057,Semur jengkol,"52,7",212,"6,0","10,0","29,1",-,"2,2",77,99,"1,0",-,-,-,-,-,-,81,"0,14",-,-,4,100,Olahan,Sayur,KZGMS-1993
968,BR023,"Sente, talas, segar","14,0",353,"0,7","0,2","84,7","6,6","0,4",11,13,"1,5",30,"694,6","0,60","2,2",-,41,-,"0,05","0,20","2,8",5,86,Tunggal,Umbi,DABM-1964
969,GP091,"Sepi, masakan","66,1",88,"7,9","1,6","10,6",-,"13,8",924,350,"2,3",873,"258,0","1,00","1,1",783,-,-,-,-,-,-,-,Olahan,Ikan dsb,KZGMI-2001
970,BP062,Serimping talas kebumen,"4,8",478,"2,5","21,2","69,2","1,7","2,3",112,118,"2,3",-,-,-,-,-,-,-,"0,25",-,-,-,100,Olahan,Umbi,KZGPI-1990
971,DP056,Shabu-shabu,"87,1",88,"3,2","8,0","0,8","0,9","0,9",217,48,"2,9",514,-,-,-,82,-,2.000,"0,20",-,-,-,100,Olahan,Sayur,KZGMS-1993
972,FP067,"Sie reuboh, masakan","32,4",474,"11,2","42,5","11,7",-,"2,2",26,62,"1,3",677,"176,0","2,40","3,2",141,9,-,"0,46","0,26",-,-,100,Olahan,Daging,KZGMI-2001
973,ER106,"Sirsak, segar","81,7",65,"1,0","0,3","16,3","3,2","0,7",14,27,"0,6",2,"298,9","0,08","1,0",-,8,10,"0,07","0,08","0,7",20,68,Tunggal,Buah,DABM-1964
974,MP014,Sirup,"44,0",213,-,-,"55,0",-,"1,0",-,-,-,3,"4,2",-,-,-,-,-,-,-,-,-,100,Olahan,Gula,DABM-1964
975,MP015,Sirup pirous,"43,3",228,"0,2","0,4","55,9",-,"0,2",470,93,"29,5",3,"4,2",-,-,-,-,-,-,-,-,8,-,Olahan,Gula,KZGMI-2001
976,FP068,"Sop buntut, masakan","86,1",71,"7,5","3,6","2,2",-,"0,6",286,38,"3,2",490,-,-,-,119,-,2.900,"0,14",-,-,-,100,Olahan,Daging,KZGMS-1993
977,FP069,"Sop daging sapi, masakan","87,5",49,"5,8","0,5","5,3",-,"0,9",158,48,"2,2",391,-,-,-,101,-,3.320,"0,37",-,-,-,100,Olahan,Daging,KZGMS-1993
978,FP070,"Sop kaki sapi, masakan","84,5",68,"9,0","1,9","3,7",-,"0,9",302,15,"2,2",435,-,-,-,48,-,150,"0,46",-,-,-,100,Olahan,Daging,KZGMS-1993
979,FP071,"Sop kambing, masakan","91,6",34,"5,5","0,8","1,1",-,"1,0",145,37,"1,6",348,-,-,-,48,-,80,"0,57",-,-,-,100,Olahan,Daging,KZGMS-1993
980,FP072,"Sop konro, masakan","85,0",71,"7,4","2,6","4,5",-,"0,5",17,60,"4,6",184,"25,0","0,30","1,3",-,-,-,"0,12","0,02","10,9",-,100,Olahan,Daging,KZGMI-2001
981,FP073,"Sop saudara, masakan","82,4",89,"7,2","5,0","3,9",-,"1,5",10,174,"9,0",274,"50,0","0,20","1,1",-,-,-,"0,09","0,12","2,0",-,100,Olahan,Daging,KZGMI-2001
982,FP074,"Soto bandung, masakan","89,9",42,"3,9","1,7","2,8","0,4","1,8",74,75,"1,8",-,-,-,-,6,20,"0,1",-,-,-,-,100,Olahan,Daging,KZGPI-1990
983,FP075,"Soto banjar, masakan","83,7",110,"2,9","9,5","3,2",-,"0,7",28,28,"0,3",36,"6,0",-,"0,2",12,-,770,"0,05",-,-,-,100,Olahan,Daging,KZGMI-2001
984,FP076,"Soto betawi, masakan","75,9",135,"2,5","8,8","11,5","0,5","1,3",222,72,"1,9",-,-,-,-,6,-,336,"0,04",-,-,-,100,Olahan,Daging,KZGPI-1990
985,FP077,"Soto jeroan, masakan","81,4",92,"11,8","4,3","1,4",-,"1,1",218,48,"1,9",363,-,-,-,85,-,440,"0,36",-,-,-,100,Olahan,Daging,KZGMS-1993
986,FP078,"Soto kudus, masakan","91,6",38,"2,6","2,3","1,8","0,2","1,7",237,67,"1,7",-,-,-,-,23,-,128,"0,06",-,"0,5",-,100,Olahan,Daging,KZGPI-1990
987,FP079,"Soto madura, masakan","89,8",60,"3,5","4,5","1,3",-,"0,9",361,126,"3,8",-,-,-,-,26,-,121,"0,06",-,-,-,100,Olahan,Daging,KZGPI-1990
988,FP080,"Soto padang, masakan","75,0",127,"5,9","6,6","11,0","0,7","2,0",298,94,"1,5",-,-,-,-,12,-,204,"0,22",-,-,-,100,Olahan,Daging,KZGPI-1990
989,FP081,"Soto pekalongan, masakan","83,8",94,"3,0","6,8","5,1","0,3","1,3",322,79,"2,0",-,-,-,-,14,-,119,"0,29",-,-,-,100,Olahan,Daging,KZGPI-1990
990,FP082,"Soto pemalang, masakan","86,0",75,"3,6","5,2","3,5",-,"1,7",170,80,"2,1",-,-,-,-,16,-,30,"0,13",-,-,-,100,Olahan,Daging,KZGPI-1990
991,FP083,"Soto sukaraja, masakan","75,9",80,"3,2","3,5","9,0","0,3","1,1",347,77,"2,3",-,-,-,-,12,-,89,"0,04",-,-,-,100,Olahan,Daging,KZGPI-1990
992,FP084,"Soto sulung, masakan","88,1",86,"2,3","8,5",-,-,"1,1",200,120,"2,9",-,-,-,-,20,-,105,"0,08",-,-,-,100,Olahan,Daging,KZGPI-1990
993,ER107,"Sowa, segar","87,7",48,"1,6","0,6","9,1","45,0","10,0",50,40,"0,3",9,-,"0,10","1,5",-,364,-,"0,15","0,23","0,2",4,-,Tunggal,Buah,KZGMI-2001
994,AP106,Spaghetti,"66,1",139,"7,4","2,1","22,6",-,"2,1",109,53,"4,7",-,-,-,-,42,-,940,"0,35",-,-,-,100,Olahan,Serealia,KZGMS-1993
995,AP107,Srikaya ketan,"41,0",265,"2,7","6,4","49,1",-,"0,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
996,ER108,"Srikaya, segar","83,4",63,"1,1","0,5","13,9","2,1","1,1",127,30,"2,7",-,-,-,-,-,-,31,"0,08",-,-,28,48,Tunggal,Buah,KZGPI-1990
997,FP085,"Sukiyaki, masakan","81,0",75,"5,6","0,4","12,2","0,2","0,8",109,59,"0,5",426,-,-,-,41,-,1.200,"0,37",-,-,-,100,Olahan,Daging,KZGMS-1993
998,ER109,"Sukun muda, segar","69,4",119,"1,4","0,2","28,1","1,4","1,0",24,44,"1,4",24,"414,4","0,09","0,1",-,28,4.896,"0,17","0,17","3,7",52,84,Tunggal,Buah,KZGPI-1990
999,ER110,"Sukun tua, segar","67,8",126,"1,6","0,2","24,5","1,5","1,0",37,47,"1,6",25,"436,0","0,09","0,1",-,30,2.000,"0,18","0,17","3,9",58,88,Tunggal,Buah,KZGPI-1990
